Level,Component,ADDR,Content,LineId,EventId,EventTemplate,ComputeInstance,EventNumericId
INFO,nova.compute.claims,[req-a4498d64-47bb-491f-adde-effccaba43f0],[instance: 11760334-ac63-4cc8-9086-578422af8c99] Claim successful on node parisaserver,1,d1d96458,[instance: <*>] Claim successful on node parisaserver,11760334-ac63-4cc8-9086-578422af8c99,12
INFO,nova.compute.manager,[req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53],[instance: 11760334-ac63-4cc8-9086-578422af8c99] VM Started (Lifecycle Event),2,e62ddd64,[instance: <*>] VM Started (Lifecycle Event),11760334-ac63-4cc8-9086-578422af8c99,3
INFO,nova.compute.manager,[req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53],[instance: 11760334-ac63-4cc8-9086-578422af8c99] VM Paused (Lifecycle Event),3,3f57c2b3,[instance: <*>] VM Paused (Lifecycle Event),11760334-ac63-4cc8-9086-578422af8c99,4
INFO,nova.compute.manager,[req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53],[instance: 11760334-ac63-4cc8-9086-578422af8c99] During sync_power_state the instance has a pending task (spawning). Skip.,4,47f4680b,[instance: <*>] During sync_power_state the instance has a pending task <*> Skip.,11760334-ac63-4cc8-9086-578422af8c99,1
INFO,nova.compute.manager,[req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53],[instance: 11760334-ac63-4cc8-9086-578422af8c99] VM Resumed (Lifecycle Event),5,16b764ff,[instance: <*>] VM Resumed (Lifecycle Event),11760334-ac63-4cc8-9086-578422af8c99,14
INFO,nova.virt.libvirt.driver,[-],[instance: 11760334-ac63-4cc8-9086-578422af8c99] Instance spawned successfully.,6,796fd834,[instance: <*>] Instance spawned successfully.,11760334-ac63-4cc8-9086-578422af8c99,15
INFO,nova.compute.manager,[req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53],[instance: 11760334-ac63-4cc8-9086-578422af8c99] During sync_power_state the instance has a pending task (spawning). Skip.,7,47f4680b,[instance: <*>] During sync_power_state the instance has a pending task <*> Skip.,11760334-ac63-4cc8-9086-578422af8c99,1
INFO,nova.compute.manager,[req-a4498d64-47bb-491f-adde-effccaba43f0],[instance: 11760334-ac63-4cc8-9086-578422af8c99] Took 5.94 seconds to build instance.,8,e51c49ab,[instance: <*>] Took <*> seconds to build instance.,11760334-ac63-4cc8-9086-578422af8c99,17
INFO,nova.compute.manager,[req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53],[instance: b9f0f7cd-31c1-4edf-9a8d-129d4efff387] VM Started (Lifecycle Event),9,e62ddd64,[instance: <*>] VM Started (Lifecycle Event),b9f0f7cd-31c1-4edf-9a8d-129d4efff387,3
INFO,nova.virt.libvirt.driver,[-],[instance: b9f0f7cd-31c1-4edf-9a8d-129d4efff387] Instance spawned successfully.,10,796fd834,[instance: <*>] Instance spawned successfully.,b9f0f7cd-31c1-4edf-9a8d-129d4efff387,15
INFO,nova.compute.manager,[req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53],[instance: b9f0f7cd-31c1-4edf-9a8d-129d4efff387] During sync_power_state the instance has a pending task (spawning). Skip.,11,47f4680b,[instance: <*>] During sync_power_state the instance has a pending task <*> Skip.,b9f0f7cd-31c1-4edf-9a8d-129d4efff387,1
INFO,nova.compute.manager,[req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53],[instance: b9f0f7cd-31c1-4edf-9a8d-129d4efff387] VM Paused (Lifecycle Event),12,3f57c2b3,[instance: <*>] VM Paused (Lifecycle Event),b9f0f7cd-31c1-4edf-9a8d-129d4efff387,4
INFO,nova.compute.manager,[req-e665dbf5-dcc9-468d-bc98-eb9aaf8071c6],[instance: b9f0f7cd-31c1-4edf-9a8d-129d4efff387] Took 11.66 seconds to build instance.,13,e51c49ab,[instance: <*>] Took <*> seconds to build instance.,b9f0f7cd-31c1-4edf-9a8d-129d4efff387,17
INFO,nova.virt.libvirt.driver,[req-febe6aa4-ca00-4bc1-92e2-eda58bc974ea],[instance: 7e95473d-7602-4e51-a383-19cddf7474cc] Creating image,14,50e0ef31,[instance: <*>] Creating image,7e95473d-7602-4e51-a383-19cddf7474cc,7
INFO,nova.compute.manager,[req-ac9f5721-5c52-4ec3-ba8a-e494d9780d53],[instance: f52f599a-b2a2-478c-bcfe-9933528dd526] VM Started (Lifecycle Event),15,e62ddd64,[instance: <*>] VM Started (Lifecycle Event),f52f599a-b2a2-478c-bcfe-9933528dd526,3
INFO,nova.compute.manager,[req-200e22db-5c02-48a7-b606-3581df1d3f5d],[instance: f52f599a-b2a2-478c-bcfe-9933528dd526] Took 14.64 seconds to build instance.,16,e51c49ab,[instance: <*>] Took <*> seconds to build instance.,f52f599a-b2a2-478c-bcfe-9933528dd526,17
INFO,nova.compute.claims,[req-9aaac690-4492-49ba-badc-26c86fa2116c],[instance: 9a6798ef-bdaa-43eb-b486-499725a86d73] Claim successful on node parisaserver,17,d1d96458,[instance: <*>] Claim successful on node parisaserver,9a6798ef-bdaa-43eb-b486-499725a86d73,12
